年度,總計,升學人數,升學率,
57,13914,7438, 0.53 ,
58,14759,6754, 0.46 ,
59,18797,7779, 0.41 ,
60,10911,7908, 0.72 ,
61,13767,10189, 0.74 ,
62,12949,9829, 0.76 ,
63,12393,8499, 0.69 ,
64,12966,8702, 0.67 ,
65,11884,8455, 0.71 ,
66,12988,8313, 0.64 ,
67,13150,9013, 0.69 ,
68,12208,8674, 0.71 ,
69,13316,9595, 0.72 ,
70,14019,10233, 0.73 ,
71,14249,10156, 0.71 ,
72,14084,9399, 0.67 ,
73,14372,9430, 0.66 ,
74,14705,9239, 0.63 ,
75,14817,9872, 0.67 ,
76,15572,10514, 0.68 ,
77,16276,10370, 0.64 ,
78,15984,10822, 0.68 ,
79,16057,11633, 0.72 ,
80,16272,12410, 0.76 ,
81,16523,13195, 0.80 ,
82,18547,14326, 0.77 ,
83,18483,14060, 0.76 ,
84,19131,14406, 0.75 ,
85,19353,15392, 0.80 ,
86,19930,16136, 0.81 ,
87,20910,16696, 0.80 ,
88,22903,18796, 0.82 ,
89,23309,19291, 0.83 ,
90,24165,20564, 0.85 ,
91,24761,21740, 0.88 ,
92,22858,20669, 0.90 ,
93,24034,21990, 0.91 ,
94,24952,23149, 0.93 ,
95,25402,24227, 0.95 ,
96,25613,24684, 0.96 ,
97,25271,24486, 0.97 ,
98,24596,23798, 0.97 ,
99,24310,23389, 0.96 ,
100,24008,23143, 0.96 ,
101,23866,23135, 0.97 ,
102,24185,23496, 0.97 ,
103,23831,23260, 0.98 ,
104,21660,21199, 0.98 ,
105,19467,19095, 0.98 ,
106,20496,19815, 0.97 ,
107,19613,18787, 0.96 ,
108,18360,17737, 0.97 ,
